,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM,SERIESNM_shoshi,SERIESNM_sikiriban,SERIESNM_sosho,SERIESNM_sublabel,seriesnm_candidate_shoshi,seriesnm_candidate_sikiriban,seriesnm_candidate_sosho,seriesnm_candidate_sublabel
443,9784592107170,ノラネコぐんだん大図鑑　１０周年限定特典付き,,1076,16,7,1,201,書籍,児童書,絵本,国内絵本,ノラネコぐんだん,工藤ノリコ,592,白泉社,43368273,ノラネコぐんだん大図鑑　１０周年限定特典付き,［バラエティ］,20221118,4437,,,ノラネコぐんだん,ノラネコぐんだん,,,ノラネコぐんだん,ノラネコぐんだん,,
444,9784342264900,データベース３３００　基本英単語・熟語,,1076,19,31,5,11,書籍,学習参考書,高校学参,英語,英単語・熟語,桐原書店編集部,342,桐原書店,43370957,データベース３３００　基本英単語・熟語,,20221014,1429,,,データベース,,,,データベース,,,
445,9784284001199,おまもりえほん　こどもぼうはんルールブック,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,国崎信江,284,日本図書センター,43366741,おまもりえほん　こどもぼうはんルールブック,,20221019,3268,,,,,,,,,,
446,9784046322012,怪盗レッド　家族の絆は、うばえない☆の巻,２２,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,秋木真,4,ＫＡＤＯＫＡＷＡ,40911770,怪盗レッド,角川つばさ文庫,20221214,4605,,,怪盗レッド,,,,怪盗レッドＴＨＥＦＩＲＳＴ,角川まんが学習シリーズ,角川まんが学習シリーズ,
447,9784477034287,１００ぴきかぞく,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,古沢たつお,477,大日本図書,43369781,１００ぴきかぞく,,20221104,1031,,,,,,,,傑作ねこの絵本,,
448,9784049146936,小学校の学習に役立つ！　マインクラフトで学ぶ理科クイズ,,1076,16,71,1,4,書籍,児童書,学習百科,学習百科,理科,篠原菊紀,4,ＫＡＤＯＫＡＷＡ,43394862,小学校の学習に役立つ！　マインクラフトで学ぶ理科クイズ,,20230308,1131,,,,,,,角川まんが学習シリーズ,理科が面白いほどわかる,,
449,9784065302873,ひろがるスカイ！プリキュア　シールあそびえほん,,1076,16,35,1,11,書籍,児童書,絵本塔,絵本塔,講談社,東映アニメーション,6,講談社,43393227,ひろがるスカイ！プリキュア　シールあそびえほん,たの幼ＴＶデラックス,20230206,3040,,,プリキュア,,たの幼ＴＶデラックス,,プリキュア,講談社アニメ絵本,たの幼ＴＶデラックス,
450,9784791631254,ミラクルラブリー・感動のどうぶつ物語ＤＸ　涙のむこう,,1076,16,41,5,27,書籍,児童書,読み物,読み物,ミラクルラブリーシリーズ,春風はな,7916,西東社,43398281,ミラクルラブリー・感動のどうぶつ物語ＤＸ　涙のむこう,,20230307,1311,,,ミラクルラブリー・感動のどうぶつ物語,,,,ミラクルラブリー・感動のどうぶつ物語,ミラクルラブリー・感動のどうぶつ物語,,
451,9784410102776,チャート式基礎と演習数学２＋Ｂ　新課程,,1076,19,31,11,11,書籍,学習参考書,高校学参,数学,数学Ⅱ・Ｂ,チャート研究所,410,数研出版,43371513,チャート式基礎と演習数学２＋Ｂ　新課程,,20221025,1137,,,,,,,チャート式問題集シリーズ,,,
452,9784791632008,ゆめがひろがるおんなのこのでんきえほん　全２２話,,1076,16,7,1,21,書籍,児童書,絵本,国内絵本,国内の名作絵本,堀米薫,7916,西東社,43374714,ゆめがひろがるおんなのこのでんきえほん　全２２話,,20221107,2825,,,,,,,おんなのこのめいさくだいすき全２５話,,,
453,9784099425258,音とカードでおけいこ！　パウ・パトロールとあいうえお,,1076,16,21,1,51,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,小学館,9,小学館,43409768,音とカードでおけいこ！　パウ・パトロールとあいうえお,［バラエティ］,20230405,1393,,,パウ・パトロール,,,,パウ・パトロールおはなし絵本,ピーターラビット,ポケットモンスター_コミュニティー絵本,
454,9784023322233,大雪のサバイバル,,1076,16,71,5,21,書籍,児童書,学習百科,学習漫画,サバイバルシリーズ,ポドアルチング,2,朝日新聞出版,43392485,大雪のサバイバル,かがくるＢＯＯＫ　科学漫画サバイバルシリーズ　８２,20230207,11964,科学漫画サバイバルシリーズ８２,,,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ
455,9784405073661,まんがイラストずかんパーフェクトコレクション,,1076,16,61,1,91,書籍,児童書,実用百科,実用百科,その他実用百科,めちゃカワ！！まんがイラスト委員会,405,新星出版社,43390107,まんがイラストずかんパーフェクトコレクション,めちゃカワＭＡＸ！！,20230316,1506,,,,,めちゃカワＭＡＸ！！,,,,めちゃカワＭＡＸ！！,
456,9784807166435,新詳高等地図,,1076,19,31,25,31,書籍,学習参考書,高校学参,社会,地理,帝国書院編集部,8071,帝国書院,43365512,新詳高等地図,,20221207,1411,,,,,,,,,,
457,9784591175262,グレッグのダメ日記　なんだって、やってやる！,,1076,16,41,5,17,書籍,児童書,読み物,読み物,グレッグのダメ日記シリーズ,ジェフ・キニー,591,ポプラ社,43377481,グレッグのダメ日記　なんだって、やってやる！,,20221124,3819,単行本,,グレッグのダメ日記,グレッグのダメ日記,,,グレッグのダメ日記,グレッグのダメ日記,,
458,9784651202686,歴史バトル図鑑　最強！戦国武将決定戦,,1076,16,71,1,47,書籍,児童書,学習百科,学習百科,歴史（読みもの）,小和田哲男,651,ＯＮＥ　ＰＵＢＬＩＳＨＩＮＧ,43372104,歴史バトル図鑑　最強！戦国武将決定戦,,20221117,2464,,,,,,,,,,
459,9784065297001,人狼サバイバル　疑心暗鬼！　水の都の人狼ゲーム,,1076,16,55,1,11,書籍,児童書,児童文庫,児童文庫,青い鳥文庫,甘雪こおり,6,講談社,43367244,人狼サバイバル　疑心暗鬼！　水の都の人狼ゲーム,,20221109,5589,,,人狼サバイバル,,,,人狼サバイバル,ディズニーえほん文庫,,
460,9784330059228,トミカ　はじめてのひらがなキューブ,,1076,16,91,1,1,書籍,児童書,グッズ,グッズ,知育玩具,ｍｉｏ,330,交通新聞社,43371216,トミカ　はじめてのひらがなキューブ,［バラエティ］,20221128,1489,,,トミカ,,,,はじめてカード図鑑,,,
461,9784791631902,ミラクルきょうふ！　意味がわかると怖いストーリー,,1076,16,41,5,41,書籍,児童書,読み物,読み物,おばけ・こわい話,朔月糸,7916,西東社,43369786,ミラクルきょうふ！　意味がわかると怖いストーリー,,20221107,4831,,,,,,,ミラクルきょうふ！怖いストーリーＭＥＧＡ,ミラクルきょうふ！本当に怖い話,,
462,9784262128764,食べてうれしい贈ってしあわせ【ハピかわ】お菓子のレシピ,,1076,16,61,1,41,書籍,児童書,実用百科,実用百科,料理,祐成二葉,262,池田書店,43366419,食べてうれしい贈ってしあわせ【ハピかわ】お菓子のレシピ,,20221124,1232,,,,,,,,,,
463,9784046321862,恐怖コレクター　宿命の再会,２０,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,佐東みどり,4,ＫＡＤＯＫＡＷＡ,42675589,恐怖コレクター,角川つばさ文庫,20221214,4462,,,恐怖コレクター,,,,恐怖コレクター,角川まんが学習シリーズ,角川まんが学習シリーズ,
464,9784049148930,星のカービィ　プププヒーロー　星のカービィ　Ｗｉｉ〜ナゾの船とマホロア！！編,,1076,16,21,1,51,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,あおきけい,4,ＫＡＤＯＫＡＷＡ,43400628,星のカービィ　プププヒーロー　星のカービィ　Ｗｉｉ～ナゾの船とマホロア！！編,,20230405,2701,,,星のカービィ,,,,星のカービィ,恐怖コレクター,,
465,9784083217623,キミにはないしょ！　運動会、ふたりきりの特訓,,1076,16,55,1,18,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,汐月うた,8,集英社,43386785,キミにはないしょ！　運動会、ふたりきりの特訓,集英社みらい文庫,20230127,1258,キミにはないしょ!,,,,,,霧島くんは普通じゃない,通学シリーズ みらい文庫版,通学シリーズ みらい文庫版,霧島くんは普通じゃない
