,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SERIESNM,seriesnm_candidate
58,9784049145472,星のカービィ　プププナゾトレブック,,1076,16,21,1,51,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,ワープスター,4,ＫＡＤＯＫＡＷＡ,43375600.0,星のカービィ　プププナゾトレブック,,20221214,1030,,
59,9784046322012,怪盗レッド　家族の絆は、うばえない☆の巻,２２,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,秋木真,4,ＫＡＤＯＫＡＷＡ,40911770.0,怪盗レッド,角川つばさ文庫,20221214,3620,,
60,9784065291702,仮面ライダーギーツとあそぼう！,,1076,16,35,1,11,書籍,児童書,絵本塔,絵本塔,講談社,講談社,6,講談社,43372549.0,仮面ライダーギーツとあそぼう！,,20221025,9965,仮面ライダー,
61,9784065301821,氷の上のプリンセス　シニア編,３,1076,16,55,1,11,書籍,児童書,児童文庫,児童文庫,青い鳥文庫,風野潮,6,講談社,43308401.0,氷の上のプリンセス　シニア編,講談社青い鳥文庫,20221214,1168,,
62,9784057508412,学研の科学　大図鑑プロジェクター　世界とつながるほんもの体験キット,,1076,16,61,1,65,書籍,児童書,実用百科,実用百科,実験・自由研究,学研の科学編集部,5,学研プラス,43372767.0,学研の科学　大図鑑プロジェクター　世界とつながるほんもの体験キット,［バラエティ］,20221213,4487,,
63,9784052056437,５分後に意外な結末ｅｘ　亜麻色の糸で紡がれた物語,,1076,16,41,5,22,書籍,児童書,読み物,読み物,５分後に意外な結末シリーズ,桃戸ハル,5,学研プラス,43363323.0,５分後に意外な結末ｅｘ　亜麻色の糸で紡がれた物語,「５分後に意外な結末」シリーズ,20221215,3716,,
64,9784052056154,マンガ・クイズつき『桃太郎電鉄』で学ぶお金・経済のしくみ攻略,,1076,16,71,1,5,書籍,児童書,学習百科,学習百科,社会,正頭英和,5,学研プラス,43375602.0,マンガ・クイズつき『桃太郎電鉄』で学ぶお金・経済のしくみ攻略,,20221215,2107,,
65,9784023322158,テーマパークのサバイバル,,1076,16,71,5,21,書籍,児童書,学習百科,学習漫画,サバイバルシリーズ,ポドアルチング,2,朝日新聞出版,43380283.0,テーマパークのサバイバル,かがくるＢＯＯＫ　科学漫画サバイバルシリーズ　８１,20221207,21666,サバイバルシリーズ,
66,9784052056819,なぜ？がわかる！　にゃんこ大戦争クイズブック　～科学のぎもん編～,,1076,16,61,1,11,書籍,児童書,実用百科,実用百科,クイズ・なぞなぞ,ＰＯＮＯＳ,5,学研プラス,43375611.0,なぜ？がわかる！　にゃんこ大戦争クイズブック　～科学のぎもん編～,,20221215,1667,,
67,9784052056444,５分後に意外な結末ｅｘ　緑に覆われた世界の出来事,,1076,16,41,5,22,書籍,児童書,読み物,読み物,５分後に意外な結末シリーズ,桃戸ハル,5,学研プラス,43363324.0,５分後に意外な結末ｅｘ　緑に覆われた世界の出来事,「５分後に意外な結末」シリーズ,20221215,3657,,
