,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
38,9784046320902,225,時間割男子　恋と事件の委員会！,時間割男子　,７,時間割男子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,一ノ瀬三葉,角川つばさ文庫
63,9784046320919,225,時間割男子　答えさがしのハワイ旅行,時間割男子　,８,時間割男子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,一ノ瀬三葉,角川つばさ文庫
27,9784046320469,225,時間割男子　おわかれ！？勝負の学年末テスト,時間割男子　,５,時間割男子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,一ノ瀬三葉,角川つばさ文庫
137,9784046321695,225,時間割男子　想い伝われ、文化祭！,時間割男子　,９,時間割男子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,一ノ瀬三葉,角川つばさ文庫
21,9784046320148,225,時間割男子　めざせ、最高のパーティー！,時間割男子　,４,時間割男子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,一ノ瀬三葉,角川つばさ文庫
16,9784046319333,225,時間割男子　わたしのテストは命がけ！,時間割男子　,１,時間割男子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,一ノ瀬三葉,角川つばさ文庫
22,9784046320070,225,時間割男子　トラブルつづきの友情！,時間割男子　,３,時間割男子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,一ノ瀬三葉,角川つばさ文庫
508,9784046313546,226,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,１,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,アンソロジー,角川つばさ文庫
448,9784046316462,226,おもしろい話、集めました。Ｓ－サファイア－,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,,おもしろい話、集めました。Ｓ－サファイア－,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
135,9784046321398,226,おもしろい話、集めました。Ａ,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,,おもしろい話、集めました。Ａ,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,ひのひまり,角川つばさ文庫
82,9784046320438,226,おもしろい話、集めました。Ｒ,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,,おもしろい話、集めました。Ｒ,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,ひのひまり,角川つばさ文庫
433,9784046317483,226,おもしろい話、集めました。Ｄ－ダイヤモンド－,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,,おもしろい話、集めました。Ｄ－ダイヤモンド－,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,アンソロジー,角川つばさ文庫
366,9784046318466,226,おもしろい話、集めました。Ｅ－エメラルド－,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,,おもしろい話、集めました。Ｅ－エメラルド－,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,アンソロジー,角川つばさ文庫
529,9784046314123,226,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,２,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,アンソロジー,角川つばさ文庫
496,9784046314437,226,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,３,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,アンソロジー,角川つばさ文庫
450,9784046315397,226,おもしろい話、集めました。Ｇ－ゴールド－　つばさ文庫の人気シリーズ大集合！,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,,おもしろい話、集めました。Ｇ－ゴールド－　つばさ文庫の人気シリーズ大集合！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,アンソロジー,角川つばさ文庫
191,9784046319531,226,おもしろい話、集めました。Ｐ－プラチナ－,おもしろい話、集めました。　つばさ文庫の人気シリーズ大集合！,,おもしろい話、集めました。Ｐ－プラチナ－,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
