,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
767,9784062853866,3,新・妖界ナビ・ルナ　流星の蜃気楼,新・妖界ナビ・ルナ　,９,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
851,9784062851350,3,新・妖界ナビ・ルナ　水底に沈む涙,新・妖界ナビ・ルナ　,２,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
829,9784062854412,3,新・妖界ナビ・ルナ　天泣の道なり,新・妖界ナビ・ルナ　,１０,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
782,9784062852982,3,新・妖界ナビ・ルナ　空と月の幻惑,新・妖界ナビ・ルナ　,７,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
720,9784062852036,3,新・妖界ナビ・ルナ　ひと粒の奇跡,新・妖界ナビ・ルナ　,４,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
775,9784062853378,3,新・妖界ナビ・ルナ　宿命の七つ星,新・妖界ナビ・ルナ　,８,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
661,9784062854689,3,新・妖界ナビ・ルナ　伝説の御子へ,新・妖界ナビ・ルナ　,１１,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
719,9784062852319,3,新・妖界ナビ・ルナ　刻まれた記憶,新・妖界ナビ・ルナ　,５,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
749,9784062851640,3,新・妖界ナビ・ルナ　星夜に甦る剣,新・妖界ナビ・ルナ　,３,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
750,9784062850971,3,新・妖界ナビ・ルナ　ガラスの指輪,新・妖界ナビ・ルナ　,１,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
643,9784062856263,4,妖界ナビ・ルナ　黒い森の迷路,妖界ナビ・ルナ　,３,妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
683,9784065143308,4,妖界ナビ・ルナ　決戦と決別と……,妖界ナビ・ルナ　,８,妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
583,9784062855846,4,妖界ナビ・ルナ　解かれた封印,妖界ナビ・ルナ　,１,妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
638,9784062856744,4,妖界ナビ・ルナ　光と影の戦い,妖界ナビ・ルナ　,５,妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
721,9784065132210,4,妖界ナビ・ルナ　白虎・玄武編,妖界ナビ・ルナ　,７,妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
659,9784062855983,4,妖界ナビ・ルナ　人魚の住む町,妖界ナビ・ルナ　,２,妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
697,9784065117460,4,妖界ナビ・ルナ　朱雀・青龍編,妖界ナビ・ルナ　,６,妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
680,9784065161371,4,妖界ナビ・ルナ　妖界への帰還,妖界ナビ・ルナ　,９,妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
654,9784062856539,4,妖界ナビ・ルナ　火をふく魔物,妖界ナビ・ルナ　,４,妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
307,9784062853064,5,パティシエ☆すばる　パティシエになりたい！,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
408,9784062856638,5,パティシエ☆すばる　パティシエ・コンテスト！　決勝,パティシエ☆すばる　パティシエ・コンテスト！　,２,パティシエ☆すばる　パティシエ・コンテスト！,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
449,9784065117507,5,パティシエ☆すばる　番外編　あこがれのウィーンへ,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる　番外編　あこがれのウィーンへ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
444,9784062853132,5,パティシエ☆すばる　ラズベリーケーキの罠,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
432,9784062853491,5,パティシエ☆すばる　記念日のケーキ屋さん,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる　記念日のケーキ屋さん,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
483,9784062853873,5,パティシエ☆すばる　誕生日ケーキの秘密,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる　誕生日ケーキの秘密,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
451,9784062856140,5,パティシエ☆すばる　パティシエ・コンテスト！　予選,パティシエ☆すばる　パティシエ・コンテスト！　,１,パティシエ☆すばる　パティシエ・コンテスト！,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
527,9784062855877,5,パティシエ☆すばる　おねがい！カンノーリ,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる　おねがい！カンノーリ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
521,9784062854535,5,パティシエ☆すばる　キセキのチョコレート,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる　キセキのチョコレート,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
510,9784062854863,5,パティシエ☆すばる　チーズケーキのめいろ,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる　チーズケーキのめいろ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
509,9784062855273,5,パティシエ☆すばる　夢のスイーツホテル,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる　夢のスイーツホテル,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
512,9784062855617,5,パティシエ☆すばる　はじまりのいちごケーキ,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる　はじまりのいちごケーキ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
533,9784062854122,5,パティシエ☆すばる　ウエディングケーキ大作戦！,パティシエ☆すばる　パティシエ・コンテスト！　,,パティシエ☆すばる　ウエディングケーキ大作戦！,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,つくもようこ,講談社青い鳥文庫
903,9784062850858,6,パスワード悪の華　中学生編　パソコン通信探偵団事件ノート２２,　中学生編　パソコン通信探偵団事件ノート２,,パスワード悪の華　中学生編　パソコン通信探偵団事件ノート２２,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
892,9784061487741,6,パスワード悪魔の石　中学生編　パソコン通信探偵団事件ノート２０,　中学生編　パソコン通信探偵団事件ノート２,,パスワード悪魔の石　中学生編,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
850,9784062855112,6,パスワードＵＭＡ騒動　中学生編　風浜電子探偵団事件ノート３０,　中学生編　パソコン通信探偵団事件ノート２,,パスワードＵＭＡ騒動　中学生編　風浜電子探偵団事件ノート３０,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
875,9784062852388,6,パスワードまぼろしの水　中学生編　風浜電子探偵団事件ノート２５,　中学生編　パソコン通信探偵団事件ノート２,,パスワードまぼろしの水　中学生編　風浜電子探偵団事件ノート２５,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
913,9784062851695,6,パスワードドードー鳥の罠　中学生編　パソコン通信探偵団事件ノート２３,　中学生編　パソコン通信探偵団事件ノート２,,パスワードドードー鳥の罠　中学生編　パソコン通信探偵団事件ノート２３,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
779,9784062855600,7,パスワード探偵スクール　パズルブック３２３問！,パスワード,,パスワード探偵スクール　パズルブック３２３問！,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
910,9784061486577,7,パスワード四百年パズル,パスワード,,パスワード四百年パズル,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
863,9784062854399,7,パスワード東京パズルデート　中学生編　風浜電子探偵団事件ノート２９,パスワード,,パスワード東京パズルデート　中学生編　風浜電子探偵団事件ノート２９,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
760,9784061484986,7,パスワード「謎（パズル）」ブッ,パスワード,,パスワード「謎（パズル）」ブッ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,
612,9784062856416,7,パスワード　パズル戦国時代,パスワード,,パスワード　パズル戦国時代,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
907,9784062853705,8,パスワード外伝　猫耳探偵まどか,パスワード外伝　,,パスワード外伝　猫耳探偵まどか,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,松原秀行,講談社青い鳥文庫
