JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784092314467,小説映画ドラえもんのび太と空の理想郷,,1076,16,0055,0001,0019,書籍,児童書,児童文庫,児童文庫,小学館ジュニア文庫,藤子・Ｆ・不二雄,0000009,小学館,43398271,小説映画ドラえもんのび太と空の理想郷,小学館ジュニア文庫,20230203,2782,小学館ジュニア文庫,
9784774738642,メイクアップぬりえ　キュートポップコレクション,,1076,16,0015,0001,0041,書籍,児童書,しかけ絵本,しかけ絵本,ぬりえ,ｍｉｏ,0007747,コスミック出版,43380025,メイクアップぬりえ　キュートポップコレクション,［バラエティ］,20221128,3856,,
9784041125694,きょうりゅうかくれんぼ,,1076,16,0007,0004,0001,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,聞かせ屋。けいたろう,0000004,ＫＡＤＯＫＡＷＡ,43360531,きょうりゅうかくれんぼ,,20221004,8545,,
9784046321756,時間割男子　ヒミツにせまる動物園！,１０,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,一ノ瀬三葉,0000004,ＫＡＤＯＫＡＷＡ,43100036,時間割男子,角川つばさ文庫,20221214,7212,,
9784057508412,学研の科学　大図鑑プロジェクター　世界とつながるほんもの体験キット,,1076,16,0061,0001,0065,書籍,児童書,実用百科,実用百科,実験・自由研究,学研の科学編集部,0000005,学研プラス,43372767,学研の科学　大図鑑プロジェクター　世界とつながるほんもの体験キット,［バラエティ］,20221213,4731,,
9784099425203,タッチペンでいっぱいあそべる！まいにちのことばずかん１５００　英語つき,,1076,16,0011,0003,0001,書籍,児童書,幼児絵本,知育絵本,知育絵本,小学館辞典編集部,0000009,小学館,43377756,タッチペンでいっぱいあそべる！まいにちのことばずかん１５００　英語つき,［バラエティ］,20221205,3082,,
9784757568204,絵本　おじさまと猫　ふくまるとしあわせの宇宙船,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,桜井海,0007575,スクウェア・エニックス,43175894,絵本　おじさまと猫　ふくまるとしあわせの宇宙船,,20221111,1858,,
9784801933798,マインクラフト３つの試練,,1076,16,0041,0005,0015,書籍,児童書,読み物,読み物,中学年読み物,スイー・デイヴィース,0008019,竹書房,43366428,マインクラフト３つの試練,,20221216,2528,,
9784813780724,この恋は、ぜったいヒミツ。,３,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,このはなさくら,0008137,スターツ出版,43205112,この恋は、ぜったいヒミツ。,野いちごジュニア文庫,20221118,1265,,
9784046321848,サバイバー！！　豪華客船は再会のとき,４,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,あさばみゆき,0000004,ＫＡＤＯＫＡＷＡ,43261596,サバイバー！！,角川つばさ文庫,20221109,2213,,
9784299036513,東大王からの挑戦！　めざせ子ども東大王　最強クイズ,,1076,16,0061,0001,0011,書籍,児童書,実用百科,実用百科,クイズ・なぞなぞ,ＴＢＳテレビ「東大王」クイズ制作チーム,0000299,宝島社,43385234,東大王からの挑戦！　めざせ子ども東大王　最強クイズ,,20221212,1570,,
9784046321930,神スキル！！！　キセキの三きょうだい、登場！,,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,大空なつき,0000004,ＫＡＤＯＫＡＷＡ,43383100,神スキル！！！　キセキの三きょうだい、登場！,角川つばさ文庫,20230112,2091,,
9784591175682,かいけつゾロリ　きょうりゅうママをすくえ！,,1076,16,0041,0005,0011,書籍,児童書,読み物,読み物,かいけつゾロリシリーズ,原ゆたか,0000591,ポプラ社,43379327,かいけつゾロリ　きょうりゅうママをすくえ！,かいけつゾロリシリーズ,20221207,11508,ポプラ社の新・小さな童話,
9784866515670,いますぐ名探偵　犯人をさがせ！　ワハハ小学校編,,1076,16,0015,0001,0021,書籍,児童書,しかけ絵本,しかけ絵本,しかけ絵本,桂林ブックス,0086651,文響社,43374615,いますぐ名探偵　犯人をさがせ！　ワハハ小学校編,,20221208,1410,,
9784813780694,願いごとガチャ　願いをかなえるアイテム当たります,,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,Ｓｙｔｒｙ,0008137,スターツ出版,43365498,願いごとガチャ　願いをかなえるアイテム当たります,野いちごジュニア文庫,20221020,1350,,
9784791631902,ミラクルきょうふ！　意味がわかると怖いストーリー,,1076,16,0041,0005,0041,書籍,児童書,読み物,読み物,おばけ・こわい話,朔月糸,0007916,西東社,43369786,ミラクルきょうふ！　意味がわかると怖いストーリー,,20221107,3067,,
9784791632008,ゆめがひろがるおんなのこのでんきえほん　全２２話,,1076,16,0007,0001,0021,書籍,児童書,絵本,国内絵本,国内の名作絵本,堀米薫,0007916,西東社,43374714,ゆめがひろがるおんなのこのでんきえほん　全２２話,,20221107,2037,,
