,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
397,9784036519101,10,アンの愛情　上,アンの青春　,,アンの愛情,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルーシー・モード・モンゴメリ,偕成社文庫
406,9784036519200,10,アンの愛情　下,アンの青春　,,アンの愛情,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルーシー・モード・モンゴメリ,偕成社文庫
363,9784036512300,11,エドガー＝アラン＝ポー　怪奇・探偵小説集,エドガー＝アラン＝ポー,２,エドガー＝アラン＝ポー　怪奇・探偵小説集,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,エドガー・アラン・ポー,偕成社文庫
332,9784036512201,11,エドガー＝アラン＝ポー怪奇・探偵小説集,エドガー＝アラン＝ポー,１,エドガー＝アラン＝ポー怪奇・探偵小説集,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,エドガー・アラン・ポー,偕成社文庫
427,9784834019018,12,アライグマ博士と仲間たち,アラ,,アライグマ博士と仲間たち,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ベン・ル－シャン,福音館文庫
225,9784834012897,12,アラスカ光と風,アラ,,アラスカ光と風,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,星野道夫,
283,9784834018110,13,トンカチと花将軍,,,トンカチと花将軍,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,舟崎克彦,福音館文庫
165,9784834014846,14,パディントンの大切な家族　パディントンの本１０,　パディントンの本,,パディントンの大切な家族　パディントンの本１０,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケル・ボンド,福音館文庫
340,9784834022193,14,パディントンのラストダンス　パディントンの本９,　パディントンの本,,パディントンのラストダンス　パディントンの本９,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケル・ボンド,福音館文庫
120,9784834018387,14,パディントンの一周年記念,　パディントンの本,,パディントンの一周年記念,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケル・ボンド,福音館文庫
32,9784834018028,14,くまのパディントン,　パディントンの本,,くまのパディントン,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケルボンド,福音館文庫
154,9784834018400,14,パディントンとテレビ,　パディントンの本,,パディントンとテレビ,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケル・ボンド,福音館文庫
132,9784834018394,14,パディントンフランスへ,　パディントンの本,,パディントンフランスへ,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケル・ボンド,福音館文庫
189,9784834018424,14,パディントン妙技公開,　パディントンの本,,パディントン妙技公開,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケル・ボンド,福音館文庫
136,9784834020007,14,パディントン街へ行く,　パディントンの本,,パディントン街へ行く,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケル・ボンド,福音館文庫
174,9784834018417,14,パディントンの煙突掃除,　パディントンの本,,パディントンの煙突掃除,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケル・ボンド,福音館文庫
75,9784834018370,14,パディントンのクリスマス,　パディントンの本,,パディントンのクリスマス,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケル・ボンド,福音館文庫
279,9784834021554,15,三つのミント・キャンディー,ンディ,,三つのミント・キャンディー,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ロベール・サバティエ,福音館文庫
124,9784834006223,15,ピーター・パンとウェンディ,ンディ,,ピーター・パンとウェンディ,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ジェームス・マシュー・バリー,福音館文庫
241,9784035500100,16,コッペパンはきつねいろ,,,コッペパンはきつねいろ,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,松谷みよ子,偕成社文庫
292,9784036519309,17,ムンジャクンジュは毛虫じゃない,,,ムンジャクンジュは毛虫じゃない,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,岡田淳,偕成社文庫
73,9784036523405,18,タイムマシン,,,タイムマシン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ハーバート・ジョージ・ウェルズ,偕成社文庫
312,9784834006629,19,シモンとクリスマスねこ,,,シモンとクリスマスねこ,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,レギーネ・シントラー,福音館文庫
358,9784036517404,20,ジャングル・ブック　オオカミ少年モウグリの物語,ジャングル・ブック,２,ジャングル・ブック,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ラドヤード・キプリング,偕成社文庫
260,9784036517305,20,ジャングル・ブック,ジャングル・ブック,１,ジャングル・ブック,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ラドヤード・キプリング,偕成社文庫
99,9784036501007,21,コンチキ号漂流記,漂流記,,コンチキ号漂流記,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ト－ル・ハイエルダ－ル,偕成社文庫
92,9784036523900,21,ジョン万次郎漂流記,漂流記,,ジョン万次郎漂流記,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,井伏鱒二,偕成社文庫
443,9784834006414,22,語りつぐ人びと・アフリカの民話,語りつぐ人びと・,,語りつぐ人びと・アフリカの民話,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,江口一久,福音館文庫
383,9784834006421,22,語りつぐ人びと・インドの民話,語りつぐ人びと・,,語りつぐ人びと・インドの民話,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,長弘毅,福音館文庫
431,9784036524204,23,天保の人びと,の人びと,,天保の人びと,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,かつおきんや,偕成社文庫
400,9784834021318,23,ラバ通りの人びと,の人びと,,ラバ通りの人びと,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ロベール・サバティエ,福音館文庫
74,9784036518302,24,ＡＢＣ殺人事件,殺人事件,,ＡＢＣ殺人事件,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,アガサ・クリスティ,
36,9784036520404,24,オリエント急行殺人事件,殺人事件,,オリエント急行殺人事件,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,アガサ・クリスティ,
360,9784036525201,25,牧師館の殺人　ミス・マープル最初の事件,の殺人,,牧師館の殺人　ミス・マープル最初の事件,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,アガサ・クリスティ,偕成社文庫
254,9784036519804,25,大空の殺人,の殺人,,大空の殺人,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,アガサ・クリスティ,偕成社文庫
180,9784863894860,26,オリンポスの神々と７人の英雄３　アテナの印（上）　パーシー・ジャクソンとオリンポスの神々　シーズン２,（上）　パーシー・ジャクソンとオリンポスの神々　シーズン２,,オリンポスの神々と７人の英雄３　アテナの印　パーシー・ジャクソンとオリンポスの神々　シーズン２,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,リック・リオーダン,静山社ペガサス文庫
129,9784863894839,26,オリンポスの神々と７人の英雄１　消えた英雄（下）　パーシー・ジャクソンとオリンポスの神々　シーズン２,（上）　パーシー・ジャクソンとオリンポスの神々　シーズン２,,オリンポスの神々と７人の英雄　消えた英雄１,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,リック・リオーダン,静山社ペガサス文庫
171,9784863894877,26,オリンポスの神々と７人の英雄３　アテナの印（下）　パーシー・ジャクソンとオリンポスの神々　シーズン２,（上）　パーシー・ジャクソンとオリンポスの神々　シーズン２,,オリンポスの神々と７人の英雄３　アテナの印　パーシー・ジャクソンとオリンポスの神々　シーズン２,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,リック・リオーダン,静山社ペガサス文庫
