,JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM,cid
2308,9784046317605,らくがき☆ポリス　ニセモノだけどキミが好き！,４,らくがき☆ポリス,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,まひる,角川つばさ文庫,513
2309,9784083214707,牛乳カンパイ係、田中くん　ありがとう田中くん！お別れ会で涙のカンパイ！,,牛乳カンパイ係、田中くん　ありがとう田中くん！お別れ会で涙のカンパイ！,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,並木たかあき,集英社みらい文庫,199
2310,9784591088401,トム・ソーヤーの冒険,,トム・ソーヤーの冒険,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,マーク・トウェイン,ポプラポケット文庫,163
2311,9784001140729,森は生きている,,森は生きている,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,サムイル・マルシャーク,岩波少年文庫,314
2312,9784092314245,彼方からのジュエリーナイト！　怪盗ナインをつかまえたい！,,彼方からのジュエリーナイト！　怪盗ナインをつかまえたい！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,築山桂,小学館ジュニア文庫,129
2313,9784092312852,白魔女リンと３悪魔　ゴールデン・ラビリンス,,白魔女リンと３悪魔　ゴールデン・ラビリンス,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,成田良美,小学館ジュニア文庫,501
2314,9784092312272,いじめ－希望の歌を歌おう－,,いじめ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫,210
2315,9784046313508,２年Ａ組探偵局　ぼくらの魔女狩り事件,,２年Ａ組探偵局　ぼくらの魔女狩り事件,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫,38
2316,9784062855303,トキメキ・図書館　恋の大バトル！？,１１,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫,122
2317,9784036527908,伝記ヘレン・ケラー,,伝記ヘレン・ケラー,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,村岡花子,偕成社文庫,461
2318,9784083212703,電車で行こう！　ハートのつり革を探せ！駿豆線とリゾート２１で伊豆大探検！！,,電車で行こう！　ハートのつり革を探せ！駿豆線とリゾート２１で伊豆大探検！！,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,豊田巧,集英社みらい文庫,358
2319,9784863892507,ハリー・ポッターシリーズ　全２０巻セット,,ハリー・ポッターシリーズ　全２０巻セット,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,Ｊ・Ｋ・ローリング,静山社ペガサス文庫,442
2320,9784575240719,復讐教室,１,復讐教室,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,山崎烏,双葉社ジュニア文庫,69
2321,9784046314055,ドギーマギー動物学校　雪山レースとバレンタイン,６,ドギーマギー動物学校,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,姫川明月,角川つばさ文庫,141
2322,9784065213575,ゼツメッシュ！　ヤンキー、未来で大あばれ,,ゼツメッシュ！　ヤンキー、未来で大あばれ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,百舌涼一,講談社青い鳥文庫,294
2323,9784001145151,長い冬,,長い冬,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ローラ・インガルス・ワイルダー,岩波少年文庫,421
2324,9784001141252,秘密の花園（下）,,秘密の花園（下）,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,フランシス・ホジソン・バーネット,岩波少年文庫,326
2325,9784001140736,ピーター・パン,,ピーター・パン,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ジェームス・マシュー・バリー,岩波少年文庫,233
2326,9784834027396,鬼の橋,,鬼の橋,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,伊藤遊,福音館文庫,91
2327,9784408537795,舞い下りた花嫁,,舞い下りた花嫁,児童書,児童文庫,児童文庫,その他児童文庫,実業之日本社,赤川次郎,実業之日本社ジュニア文庫,153
2328,9784083214318,牛乳カンパイ係、田中くん　捨て犬救出大作戦！ユウナとプリンの１０日間,,牛乳カンパイ係、田中くん　捨て犬救出大作戦！ユウナとプリンの１０日間,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,並木たかあき,集英社みらい文庫,305
2329,9784092312777,がんばれ！ルルロロ　せかいでいちばんのケーキ,,がんばれ！ルルロロ　せかいでいちばんのケーキ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,あいはらひろゆき,小学館ジュニア文庫,418
2330,9784065267561,小説　ＳＨＡＭＡＮ　ＫＩＮＧ,２,小説　ＳＨＡＭＡＮ　ＫＩＮＧ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,武井宏之,講談社青い鳥文庫,180
2331,9784046315847,アナと雪の女王　ふたりの固いきずな,,アナと雪の女王　ふたりの固いきずな,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,エリカ・デイビッド,角川つばさ文庫,465
2332,9784001140361,朝びらき丸東の海へ,,朝びらき　丸東の海へ,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,クライヴ・ステー,岩波少年文庫,527
2333,9784001146257,ベルリン１９４５　はじめての春（上）,,ベルリン１９４５　はじめての春,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,クラウス・コルドン,岩波少年文庫,433
2334,9784046317001,らくがき☆ポリス　流れ星に願うなら！？,３,らくがき☆ポリス,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,まひる,角川つばさ文庫,22
2335,9784036504305,ギリシア神話,,ギリシア神話,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,高津春繁,偕成社文庫,63
2336,9784046314161,２年Ａ組探偵局　ぼくらの仮面学園事件,,２年Ａ組探偵局　ぼくらの仮面学園事件,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫,26
2337,9784046316110,怪盗探偵山猫　鼠たちの宴,,怪盗探偵山猫　鼠たちの宴,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,神永学,角川つばさ文庫,97
2338,9784036523900,ジョン万次郎漂流記,,ジョン万次郎漂流記,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,井伏鱒二,偕成社文庫,53
2339,9784323019451,クリスマス・キャロル,,クリスマス・キャロル,児童書,児童文庫,児童文庫,フォア文庫,金の星社,チャ－ルズ・ディ,フォア文庫,381
2340,9784065242414,小説　映画　子供はわかってあげない,,小説　映画　子供はわかってあげない,児童書,児童文庫,児童文庫,その他児童文庫,講談社,結来月ひろは,,471
2341,9784001142457,おとうさんとぼく,,おとうさんとぼく,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ｅ・ｏ・プラウエン,岩波少年文庫,214
2342,9784046315373,名探偵シャーロック・ホームズ　緋色の研究,,名探偵シャーロック・ホームズ　緋色の研究,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,コナン・ドイル,角川つばさ文庫,510
2343,9784083211270,電車で行こう！　超難解！？名古屋トレインラリー,,電車で行こう！　超難解！？名古屋トレインラリー,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,豊田巧,集英社みらい文庫,8
2344,9784575240849,王様ゲーム　再生９．１９,２,王様ゲーム　再生９．１９,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫,201
2345,9784092312890,ＴＯＫＹＯオリンピックはじめて物語,,ＴＯＫＹＯオリンピックはじめて物語,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,野地秩嘉,小学館ジュニア文庫,369
2346,9784591158913,幕末英雄列伝　〈迅〉の章　坂本龍馬　中岡慎太郎　岩倉具視　大久保利通,,幕末英雄列伝　〈迅〉の章　坂本龍馬　中岡慎太郎　岩倉具視　大久保利通,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,藤咲あゆな,ポプラポケット文庫,506
2347,9784065231678,小説　ましろのおと,１,小説　ましろのおと,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,時海結以,,353
2348,9784001141597,ふくろ小路一番地,,ふくろ小路一番地,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,イーヴ・ガーネット,岩波少年文庫,386
2349,9784092311879,ギルティゲーム　ペルセポネー号の悲劇,３,ギルティゲーム,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫,243
