JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784591175699,ティンクル・セボンスター　アンナと宝石の国の女王様,８,1076,16,0041,0005,0005,書籍,児童書,読み物,読み物,低学年読み物,菊田みちよ,0000591,ポプラ社,42723633,ティンクル・セボンスター,,20221214,1486,ティンクル・セボンスター,
9784065291832,いちねんじゅうおばけずかん　ハロウィンかぼちゃん,,1076,16,0041,0005,0041,書籍,児童書,読み物,読み物,おばけ・こわい話,斉藤洋,0000006,講談社,43371446,いちねんじゅうおばけずかん　ハロウィンかぼちゃん,どうわがいっぱい,20221201,6208,,
9784522803424,じゃがりこバスボール　りんごのかおり,,1076,16,0091,0001,0091,書籍,児童書,グッズ,グッズ,その他グッズ,ｍｉｏ,0000522,永岡書店,43376318,じゃがりこバスボール　りんごのかおり,,20221110,8461,,
9784052054440,虹の島のお手紙つき　アメジスト編　大切な気持ち,４,1076,16,0041,0005,0015,書籍,児童書,読み物,読み物,中学年読み物,ジュリー・サイクス,0000005,学研プラス,43302896,虹の島のお手紙つき　アメジスト編,,20221129,1150,虹の島のお手紙つき,
9784083217814,絶望鬼ごっこ　街をとりもどす地獄革命,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,針とら,0000008,集英社,43409036,絶望鬼ごっこ　街をとりもどす地獄革命,絶望鬼ごっこシリーズ,20230421,1133,絶望鬼ごっこシリーズ,
9784284001205,いちねんせいえほん　はじめての「よのなかルールブック」,,1076,16,0011,0003,0001,書籍,児童書,幼児絵本,知育絵本,知育絵本,高濱正伸,0000284,日本図書センター,43383708,いちねんせいえほん　はじめての「よのなかルールブック」,,20230118,12421,,
9784065300114,エトワール！　コンテの世界へようこそ！,１１,1076,16,0055,0001,0011,書籍,児童書,児童文庫,児童文庫,青い鳥文庫,梅田みか,0000006,講談社,42816218,エトワール！,講談社青い鳥文庫,20221214,1208,,
9784083217685,迷宮教室　正解不可能！？　親友をぜったいきらいになるクイズ,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,あいはらしゅう,0000008,集英社,43395878,迷宮教室　正解不可能！？　親友をぜったいきらいになるクイズ,集英社みらい文庫,20230224,1199,迷宮教室,
9784092893078,小学館世界Ｊ文学館,,1076,16,0041,0001,0003,書籍,児童書,読み物,名作読み物,海外の名作読み物,浅田次郎,0000009,小学館,43355658,小学館世界Ｊ文学館,,20221118,2463,,
9784092536517,ポケモンずかんドリル　小学２年生　かん字,,1076,19,0005,0001,0091,書籍,学習参考書,小学ドリル,小学ドリル,その他ドリル,阿辻哲次,0000009,小学館,43396897,ポケモンずかんドリル　小学２年生　かん字,知育ドリル,20230222,10471,知育ドリル,
9784893097156,いちじくのはなし,,1076,16,0041,0005,0005,書籍,児童書,読み物,読み物,低学年読み物,しおたにまみこ,0089309,ブロンズ新社,43385901,いちじくのはなし,,20230216,3262,,
9784865492873,はたらくくるま,,1076,16,0011,0002,0001,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,伊藤アキラ,0086549,ひさかたチャイルド,43373876,はたらくくるま,,20221215,2188,,
9784046060167,すごすぎる天気の図鑑　雲の超図鑑,,1076,16,0071,0001,0004,書籍,児童書,学習百科,学習百科,理科,荒木健太郎,0000004,ＫＡＤＯＫＡＷＡ,43398895,すごすぎる天気の図鑑　雲の超図鑑,,20230327,1325,,
9784097353508,めくってあそぼう！しかけえほん　シナぷしゅ,,1076,16,0021,0001,0051,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,ｍｉｏ,0000009,小学館,43379300,めくってあそぼう！しかけえほん　シナぷしゅ,,20221121,1978,,
9784323890302,アニメおさるのジョージ　わくわく　ドキドキ　すごろく,,1076,16,0091,0001,0006,書籍,児童書,グッズ,グッズ,すごろく,マーガレット・レイ,0000323,金の星社,43378393,アニメおさるのジョージ　わくわく　ドキドキ　すごろく,［バラエティ］,20230108,1049,,
