JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784863892491,ハリー・ポッターと死の秘宝　７－４,,ハリー・ポッターと死の秘宝　７－４,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,Ｊ・Ｋ・ローリング,静山社ペガサス文庫
9784863892484,ハリー・ポッターと死の秘宝　７－３,,ハリー・ポッターと死の秘宝　７－３,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,Ｊ・Ｋ・ローリング,静山社ペガサス文庫
9784863895904,もののけ屋　一度は会いたい妖怪変化,,もののけ屋　一度は会いたい妖怪変化,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,廣嶋玲子,静山社ペガサス文庫
9784834018127,魔女の宅急便,,魔女の宅急便,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,角野栄子,福音館文庫
9784036518807,二分間の冒険,,二分間の冒険,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,岡田淳,偕成社文庫
9784035500704,大どろぼうホッツェンプロッツ,,大どろぼうホッツェンプロッツ,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,オットフリ－ト・プロイスラ－,偕成社文庫
9784863894051,ハリー・ポッター裏話,,ハリー・ポッター裏話,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,Ｊ・Ｋ・ローリング,静山社ペガサス文庫
9784035509608,びりっかすの神さま,,びりっかすの神さま,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,岡田淳,偕成社文庫
9784863892538,吟遊詩人ビードルの物語,,吟遊詩人ビードルの物語,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,Ｊ・Ｋ・ローリング,静山社ペガサス文庫
9784863892514,クィディッチ今昔　ケニルワージー・ウィスプ,,クィディッチ今昔　ケニルワージー・ウィスプ,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,Ｊ・Ｋ・ローリング,静山社ペガサス文庫
9784834006216,魔女の宅急便　キキと新しい魔法,２,魔女の宅急便,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,角野栄子,福音館文庫
9784863895812,悪ガキ７－セブン－　いたずらｔｗｉｎｓと仲間たち,,悪ガキ７－セブン－　いたずらｔｗｉｎｓと仲間たち,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,宗田理,静山社ペガサス文庫
9784834018028,くまのパディントン,,くまのパディントン,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,マイケルボンド,福音館文庫
9784036509201,シャーロック＝ホームズの冒険　上,,シャーロック＝ホームズの冒険　上,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,コナン・ドイル,偕成社文庫
9784035512202,象のいない動物園,,象のいない動物園,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,斎藤憐,偕成社文庫
9784035500803,大どろぼうホッツェンプロッツ　ふたたびあらわる,,大どろぼうホッツェンプロッツ　ふたたびあらわる,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,オットフリート・プロイスラー,偕成社文庫
9784036520404,オリエント急行殺人事件,,オリエント急行殺人事件,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,アガサ・クリスティ,
9784036512409,銀河鉄道の夜,,銀河鉄道の夜,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,宮沢賢治,偕成社文庫
