JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784083216077,放課後、きみがピアノをひいていたから～約束～,,放課後、きみがピアノをひいていたから～約束～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,柴野理奈子,集英社みらい文庫
9784083213762,生き残りゲーム　ラストサバイバル　最後に歩けるのはだれだ！？,,生き残りゲーム　ラストサバイバル　最後に歩けるのはだれだ！？,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
9784046312488,おおかみこどもの雨と雪,,おおかみこどもの雨と雪,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,細田守,角川つばさ文庫
9784065169650,小説　ゆずのどうぶつカルテ　こちら　わんニャンどうぶつ病院,２,小説　ゆずのどうぶつカルテ　こちら　わんニャンどうぶつ病院,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,辻みゆき,講談社青い鳥文庫
9784065210512,小説　映画　きみの瞳が問いかけている,,小説　映画　きみの瞳が問いかけている,児童書,児童文庫,児童文庫,その他児童文庫,講談社,時海結以,講談社ＫＫ文庫
9784046312976,ぼくらの修学旅行,,ぼくらの修学旅行,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫
9784083216824,生き残りゲーム　ラストサバイバル　絶望感染！サバイバルゾンビ鬼,,生き残りゲーム　ラストサバイバル　絶望感染！サバイバルゾンビ鬼,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
9784046320391,君のとなりで。　あこがれの場所へ,４,君のとなりで。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,高杉六花,角川つばさ文庫
9784813780366,溺愛１２０％の恋～校内Ｎｏ．１モテ男子は、鈍感女子とはやく両想いになりたい～,,溺愛１２０％の恋～校内Ｎｏ．１モテ男子は、鈍感女子とはやく両想いになりたい～,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
9784046320452,ぜったいバレちゃいけません！！！　王子とスターと演劇祭！,２,ぜったいバレちゃいけません！！！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,水無仙丸,角川つばさ文庫
9784863892330,ハリー・ポッターと秘密の部屋　２－２,,ハリー・ポッターと秘密の部屋　２－２,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,Ｊ・Ｋ・ローリング,静山社ペガサス文庫
9784083216572,絶対好きにならない同盟　甘いヒミツがある、あいつのこと,,絶対好きにならない同盟　甘いヒミツがある、あいつのこと,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,夜野せせり,集英社みらい文庫
9784046320728,オンライン！　死神調合師エスレイドと裏切りの尚美ちゃん,２１,オンライン！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
9784083215605,生き残りゲーム　ラストサバイバル　チームで勝ち抜け！サバイバルウォーター,,生き残りゲーム　ラストサバイバル　チームで勝ち抜け！サバイバルウォーター,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
9784092306516,名探偵コナン　業火の向日葵,,名探偵コナン　業火の向日葵,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニア文庫
9784065140512,小説　映画　Ｌ　ＤＫ,,小説　映画　Ｌ　ＤＫ,児童書,児童文庫,児童文庫,その他児童文庫,講談社,有沢ゆう希,講談社ＫＫ文庫
9784046311283,ぼくらと七人の盗賊たち,,ぼくらと七人の盗賊たち,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫
9784046319890,一年間だけ。　キミの気持ちが知りたくて,４,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
9784083216336,天宮家の王子さま　わたしがメイドになったわけ,,天宮家の王子さま　わたしがメイドになったわけ,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,白井ごはん,集英社みらい文庫
9784083215483,青星学園★チームＥＹＥ－Ｓの事件ノート～ひとりぼっちのキヨと、クリスマスの奇跡～,,青星学園★チームＥＹＥ－Ｓの事件ノート～ひとりぼっちのキヨと、クリスマスの奇跡～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
9784046316394,ぼくらの無人島戦争,,ぼくらの無人島戦争,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫
9784046315403,１％　絶対かなわない恋,１,１％,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,このはなさくら,角川つばさ文庫
9784083215926,戦国姫―織田の姫君たち―,,戦国姫―織田の姫君たち―,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,藤咲あゆな,集英社みらい文庫
9784083214370,青星学園★チームＥＹＥ－Ｓの事件ノート～ロミオと青い星のひみつ～,,青星学園★チームＥＹＥ－Ｓの事件ノート～ロミオと青い星のひみつ～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
9784046320230,星にねがいを！　幸せ配達人、失格です！？,５,星にねがいを！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
9784046319548,一年間だけ。　ずっとキミのそばにいたのに,３,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
9784065239681,怪盗クイーン　煉獄金貨と失われた城,,怪盗クイーン　煉獄金貨と失われた城,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,はやみねかおる,講談社青い鳥文庫
9784065134740,夜カフェ,１,夜カフェ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,倉橋燿子,講談社青い鳥文庫
