,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
321,9784575241334,202,王様ゲーム　再生９．２４,王様ゲーム　再生９．２４,２,王様ゲーム　再生９．２４,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
337,9784575240849,202,王様ゲーム　再生９．１９,王様ゲーム　再生９．２４,２,王様ゲーム　再生９．１９,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
293,9784575239133,202,王様ゲーム,王様ゲーム　再生９．２４,,王様ゲーム,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
332,9784575240481,202,王様ゲーム　起源８．１４,王様ゲーム　再生９．２４,,王様ゲーム　起源８．１４,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
290,9784575240023,202,王様ゲーム　滅亡６．１１,王様ゲーム　再生９．２４,,王様ゲーム　滅亡６．１１,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
327,9784575239775,202,王様ゲーム　滅亡６．０８,王様ゲーム　再生９．２４,,王様ゲーム　滅亡６．０８,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
63,9784813780045,203,リアルゲーム　全員死ぬまで終わらない,リアルゲーム　,１,リアルゲーム,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,西羽咲花月,野いちごジュニア文庫
107,9784813780106,203,リアルゲーム　最後に生き残るのは誰？,リアルゲーム　,２,リアルゲーム,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,西羽咲花月,野いちごジュニア文庫
664,9784062204255,204,進撃の巨人ゲームブック　ウォール・ローゼ死守命令８５０,進撃の巨人ゲームブック　,,進撃の巨人ゲームブック　ウォール・ローゼ死守命令８５０,児童書,児童文庫,児童文庫,その他児童文庫,講談社,藤浪智之,
681,9784062204262,204,進撃の巨人ゲームブック　女型巨人を捕獲せよ！,進撃の巨人ゲームブック　,,進撃の巨人ゲームブック　女型巨人を捕獲せよ！,児童書,児童文庫,児童文庫,その他児童文庫,講談社,藤浪智之,
23,9784813780076,205,人生終了ゲーム　センタクシテクダサイ,ゲーム,,人生終了ゲーム　センタクシテクダサイ,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,ｃｈｅｅｅｒｙ,野いちごジュニア文庫
766,9784265041749,205,砂のゲーム,ゲーム,,砂のゲーム,児童書,児童文庫,児童文庫,フォア文庫,岩崎書店,ウーリー・オルレブ,新しい世界の文学
167,9784813780526,205,遊園地脱出ゲーム,ゲーム,,遊園地脱出ゲーム,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,いぬじゅん,野いちごジュニア文庫
125,9784813780427,205,ラスト・ゲーム,ゲーム,,ラスト・ゲーム,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,かな,野いちごジュニア文庫
718,9784065137802,206,ＳＴＡＲ　ＷＡＲＳ　ハン・ソロ／スター・ウォーズ・ストーリー　最重要指名手配,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　,,ＳＴＡＲ　ＷＡＲＳ　ハン・ソロ／スター・ウォーズ・ストーリー　最重要指名手配,児童書,児童文庫,児童文庫,その他児童文庫,講談社,レイ・カーソン,講談社ＫＫ文庫
587,9784061996618,206,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　ルーク・スカイウォーカーの都市伝説,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　,,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　ルーク・スカイウォーカーの都市伝説,児童書,児童文庫,児童文庫,その他児童文庫,講談社,ケン・リュウ,講談社ＫＫ文庫
557,9784062197939,206,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・フォースの覚醒　反乱軍の危機を救え！　レイア姫の冒険,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　,,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・フォースの覚醒　反乱軍の危機を救え！　レイア姫の冒険,児童書,児童文庫,児童文庫,その他児童文庫,講談社,セシル・カステルーチ,講談社ＫＫ文庫
475,9784062198844,206,ＳＴＡＲ　ＷＡＲＳフォースの覚醒前夜～ポー・レイ・フィン～,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　,,ＳＴＡＲ　ＷＡＲＳフォースの覚醒前夜～ポー・レイ・フィン～,児童書,児童文庫,児童文庫,その他児童文庫,講談社,グレッグ・ルーカ,講談社ＫＫ文庫
576,9784061996625,206,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　レイア・オーガナ　オルデラーンの王女,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　,,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　レイア・オーガナ　オルデラーンの王女,児童書,児童文庫,児童文庫,その他児童文庫,講談社,クラウディア・グレイ,講談社ＫＫ文庫
240,9784061996564,206,ＳＴＡＲ　ＷＡＲＳ　スター・ウォーズ空想科学読本,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　,,ＳＴＡＲ　ＷＡＲＳ　スター・ウォーズ空想科学読本,児童書,児童文庫,児童文庫,その他児童文庫,講談社,柳田理科雄,講談社ＫＫ文庫
687,9784062197922,206,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・フォースの覚醒　おれたちの船って最高だぜ！　ハン・ソロとチューバッカの冒険,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・最後のジェダイ　,,ＳＴＡＲ　ＷＡＲＳ　ジャーニー・トゥ・フォースの覚醒　おれたちの船って最高だぜ！　ハン・ソロとチューバッカの冒険,児童書,児童文庫,児童文庫,その他児童文庫,講談社,グレッグ・ルーカ,講談社ＫＫ文庫
170,9784323091273,207,ＳＮＳ炎上,,,ＳＮＳ炎上,児童書,児童文庫,児童文庫,フォア文庫,金の星社,ＮＨＫ「オトナヘノベル」制作班,フォア文庫
542,9784092301825,208,悪魔の盗人　デモナータ２,　デモナータ,,悪魔の盗人　デモナータ２,児童書,児童文庫,児童文庫,その他児童文庫,小学館,ダレン・シャン,小学館ファンタジー文庫
571,9784092301887,208,狼島　デモナータ８,　デモナータ,,狼島　デモナータ８,児童書,児童文庫,児童文庫,その他児童文庫,小学館,ダレン・シャン,小学館ファンタジー文庫
577,9784092301870,208,死の影　デモナータ７,　デモナータ,,死の影　デモナータ７,児童書,児童文庫,児童文庫,その他児童文庫,小学館,ダレン・シャン,小学館ファンタジー文庫
602,9784092301894,208,暗黒のよび声　デモナータ９,　デモナータ,,暗黒のよび声　デモナータ９,児童書,児童文庫,児童文庫,その他児童文庫,小学館,ダレン・シャン,小学館ファンタジー文庫
536,9784092301863,208,悪魔の黙示録　デモナータ６,　デモナータ,,悪魔の黙示録　デモナータ６,児童書,児童文庫,児童文庫,その他児童文庫,小学館,ダレン・シャン,小学館ファンタジー文庫
548,9784092301856,208,血の呪い　デモナータ５,　デモナータ,,血の呪い　デモナータ５,児童書,児童文庫,児童文庫,その他児童文庫,小学館,ダレン・シャン,小学館ファンタジー文庫
510,9784092301849,208,ベック　デモナータ４,　デモナータ,,ベック　デモナータ４,児童書,児童文庫,児童文庫,その他児童文庫,小学館,ダレン・シャン,小学館ファンタジー文庫
