,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
153,9784092313378,103,ヒノマルソウル　舞台裏の英雄たち,,,ヒノマルソウル　舞台裏の英雄たち,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,涌井学,小学館ジュニア文庫
353,9784092311404,104,世界名作シリーズ　オズの魔法使い,世界名作シリーズ　小公,,世界名作シリーズ　オズの魔法使い,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,ライマン・フランク・ボーム,小学館ジュニア文庫
406,9784092311565,104,世界名作シリーズ　坊っちゃん,世界名作シリーズ　小公,,世界名作シリーズ　坊っちゃん,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,夏目漱石,小学館ジュニア文庫
314,9784092312296,104,宝島　世界名作シリーズ,世界名作シリーズ　小公,,宝島　世界名作シリーズ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,ロバート・ルイス・スティーヴンソン,小学館ジュニア文庫
342,9784092308961,104,世界名作シリーズ　フランダースの犬,世界名作シリーズ　小公,,世界名作シリーズ　フランダースの犬,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,ウィーダ,小学館ジュニア文庫
397,9784092311633,104,世界名作シリーズ　家なき子,世界名作シリーズ　小公,,世界名作シリーズ　家なき子,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,エクトール・マロ,小学館ジュニア文庫
415,9784092308831,104,世界名作シリーズ　小公子セドリック,世界名作シリーズ　小公,,世界名作シリーズ　小公子セドリック,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,フランシス・ホジソン・バーネット,小学館ジュニア文庫
388,9784092308718,104,世界名作シリーズ　小公女セーラ,世界名作シリーズ　小公,,世界名作シリーズ　小公女セーラ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,フランシス・ホジソン・バーネット,小学館ジュニア文庫
374,9784092308893,104,世界名作シリーズ　トム・ソーヤの冒険,世界名作シリーズ　小公,,世界名作シリーズ　トム・ソーヤの冒険,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,マーク・トウェイン,小学館ジュニア文庫
162,9784092313149,105,パティシエ志望だったのに、シンデレラのいじわるな姉に生まれ変わってしまいました！,だった,,パティシエ志望だったのに、シンデレラのいじわるな姉に生まれ変わってしまいました！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,日部星花,小学館ジュニア文庫
69,9784092313736,105,ぜんぶ、藍色だった。,だった,,ぜんぶ、藍色だった。,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,木爾チレン,小学館ジュニア文庫
444,9784092308565,106,もしも私が【星月ヒカリ】だったら。,,,もしも私が【星月ヒカリ】だったら。,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,村上桃子,小学館ジュニア文庫
136,9784092313392,107,レベル１で異世界召喚されたオレだけど、攻略本は読みこんでます。,レベル１で異世界召喚されたオレだけど、,,レベル１で異世界召喚されたオレだけど、攻略本は読みこんでます。,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
211,9784092313897,107,レベル１で異世界召喚されたオレだけど、なぜか新米魔王やってます。,レベル１で異世界召喚されたオレだけど、,,レベル１で異世界召喚されたオレだけど、なぜか新米魔王やってます。,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
204,9784092308466,108,世界から猫が消えたなら,が消えたなら,,世界から猫が消えたなら,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,川村元気,小学館ジュニア文庫
